,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_hidden_layer_sizes,param_learning_rate_init,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.07223539352416992,0.00020051002502441406,0.7735930735930736,0.8119047619047619,"(25,)",0.001,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 0.001}",26,0.7662337662337663,0.7840909090909091,0.8398268398268398,0.8154761904761905,0.8008658008658008,0.8176406926406926,0.6883116883116883,0.8116883116883117,0.7727272727272727,0.8306277056277056,0.010485829034114238,0.0004010200500488281,0.04991700538666518,0.01529615562255823
1,0.05133657455444336,0.00020051002502441406,0.8623376623376623,0.8931818181818182,"(25,)",0.006,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 0.006}",24,0.8679653679653679,0.9182900432900433,0.854978354978355,0.829004329004329,0.8658008658008658,0.8847402597402597,0.854978354978355,0.9204545454545454,0.8679653679653679,0.9134199134199135,0.01639770072573296,0.00024557372897362963,0.006060606060606065,0.034565344337625425
2,0.04772706031799316,0.00010027885437011719,0.8887445887445887,0.920021645021645,"(25,)",0.01,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 0.01}",20,0.8831168831168831,0.9242424242424242,0.9393939393939394,0.91504329004329,0.8917748917748918,0.9069264069264069,0.8268398268398268,0.9166666666666666,0.9025974025974026,0.9372294372294372,0.015447442279054436,0.00020055770874023439,0.036415135662014035,0.010212230400073975
3,0.023874711990356446,0.00030074119567871096,0.9034632034632034,0.9318181818181817,"(25,)",0.06,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 0.06}",13,0.9199134199134199,0.939935064935065,0.9242424242424242,0.9372294372294372,0.9069264069264069,0.908008658008658,0.8376623376623377,0.9291125541125541,0.9285714285714286,0.9448051948051948,0.005889811270497254,0.00024555459013073013,0.03368844408371206,0.012946364959335618
4,0.02628049850463867,0.00030074119567871096,0.9043290043290043,0.9281385281385282,"(25,)",0.1,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 0.1}",11,0.9285714285714286,0.9491341991341992,0.935064935064935,0.9420995670995671,0.9155844155844156,0.9047619047619048,0.8917748917748918,0.9393939393939394,0.8506493506493507,0.9053030303030303,0.01032030967208444,0.00024555426604459156,0.03065350816813936,0.019132901368303087
5,0.033394145965576175,0.0005015373229980469,0.8822510822510823,0.8983766233766234,"(25,)",0.6,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 0.6}",22,0.9307359307359307,0.9512987012987013,0.8333333333333334,0.7613636363636364,0.9025974025974026,0.9134199134199135,0.8398268398268398,0.9383116883116883,0.9047619047619048,0.9274891774891775,0.003935689800562135,2.4314019744838644e-07,0.03863742465226784,0.06963038953712988
6,0.05384297370910644,0.00040111541748046877,0.8965367965367965,0.9085497835497834,"(25,)",1,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 1}",17,0.9307359307359307,0.9475108225108225,0.8614718614718615,0.8793290043290043,0.8744588744588745,0.854978354978355,0.9025974025974026,0.913961038961039,0.9134199134199135,0.946969696969697,0.012182869326013446,0.00020055787879621014,0.025331149503597907,0.036734414073716457
7,0.04361557960510254,0.00040111541748046877,0.6822510822510822,0.6967532467532467,"(25, 25)",0.001,"{'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.001}",28,0.6298701298701299,0.6991341991341992,0.6645021645021645,0.7056277056277056,0.7142857142857143,0.7002164502164502,0.7056277056277056,0.6818181818181818,0.696969696969697,0.696969696969697,0.0031224706407666225,0.00020055776542557565,0.031138754127020673,0.007994019615852561
8,0.06718392372131347,0.00030112266540527344,0.8844155844155844,0.9142857142857143,"(25, 25)",0.006,"{'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.006}",21,0.7922077922077922,0.8906926406926406,0.9415584415584416,0.9193722943722944,0.948051948051948,0.928030303030303,0.8506493506493507,0.9188311688311688,0.8896103896103896,0.9145021645021645,0.017853526866638027,0.00024586622785496365,0.05828261213588798,0.012586724323860045
9,0.06026444435119629,0.0005013465881347657,0.9017316017316017,0.9320346320346321,"(25, 25)",0.01,"{'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.01}",15,0.8506493506493507,0.908008658008658,0.9437229437229437,0.9285714285714286,0.9437229437229437,0.9448051948051948,0.8614718614718615,0.9426406926406926,0.9090909090909091,0.9361471861471862,0.01276893956277336,1.784161275279017e-07,0.03952454445199421,0.013279533896257956
10,0.0359957218170166,0.0005014419555664062,0.9090909090909091,0.9260822510822511,"(25, 25)",0.06,"{'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.06}",5,0.9155844155844156,0.9377705627705628,0.8787878787878788,0.8798701298701299,0.948051948051948,0.941017316017316,0.8744588744588745,0.9123376623376623,0.9285714285714286,0.9594155844155844,0.014120669919841993,1.784161275279017e-07,0.02848603268634129,0.02755089026703309
11,0.03178415298461914,0.00030078887939453123,0.8896103896103896,0.919047619047619,"(25, 25)",0.1,"{'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.1}",19,0.8051948051948052,0.9015151515151515,0.9047619047619048,0.9101731601731602,0.922077922077922,0.9172077922077922,0.9155844155844156,0.9323593073593074,0.9004329004329005,0.933982683982684,0.007324332383821556,0.00024559329219980326,0.04289866369467529,0.012568099388644133
12,0.03148365020751953,0.00010023117065429687,0.5943722943722943,0.5833333333333334,"(25, 25)",0.6,"{'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.6}",30,0.487012987012987,0.4291125541125541,0.5800865800865801,0.5838744588744589,0.5627705627705628,0.5432900432900433,0.5735930735930735,0.6130952380952381,0.7683982683982684,0.7472943722943723,0.013085722394514342,0.00020046234130859374,0.09321543606230864,0.10310848646939463
13,0.035293865203857425,0.00040116310119628904,0.43116883116883115,0.4613636363636363,"(25, 25)",1,"{'hidden_layer_sizes': (25, 25), 'learning_rate_init': 1}",32,0.3398268398268398,0.4107142857142857,0.42857142857142855,0.4090909090909091,0.4329004329004329,0.37662337662337664,0.4653679653679654,0.5546536796536796,0.48917748917748916,0.5557359307359307,0.012838918400017113,0.00020058162853122015,0.05076945836044764,0.077573021703071
14,0.08733210563659669,0.00040836334228515624,0.7519480519480519,0.7923160173160172,50,0.001,"{'hidden_layer_sizes': 50, 'learning_rate_init': 0.001}",27,0.7662337662337663,0.7819264069264069,0.8116883116883117,0.8116883116883117,0.7207792207792207,0.7332251082251082,0.6623376623376623,0.7608225108225108,0.7987012987012987,0.8739177489177489,0.03443190788977037,0.0002046635632455066,0.05469984334714984,0.04821959950506097
15,0.05895695686340332,0.0003009319305419922,0.8904761904761904,0.9180735930735932,50,0.006,"{'hidden_layer_sizes': 50, 'learning_rate_init': 0.006}",18,0.9025974025974026,0.9345238095238095,0.9307359307359307,0.9291125541125541,0.8939393939393939,0.9036796536796536,0.8744588744588745,0.9215367965367965,0.8506493506493507,0.9015151515151515,0.011682310313438573,0.00024570990780242485,0.02691652217612089,0.013310368427860616
16,0.049330854415893556,0.0004010200500488281,0.9077922077922078,0.9241341991341991,50,0.01,"{'hidden_layer_sizes': 50, 'learning_rate_init': 0.01}",7,0.9090909090909091,0.933982683982684,0.9372294372294372,0.933982683982684,0.9199134199134199,0.91504329004329,0.9069264069264069,0.9312770562770563,0.8658008658008658,0.9063852813852814,0.010633663095098729,0.00020051005337382694,0.02357618840552398,0.011337322656976463
17,0.03258695602416992,0.0005014419555664062,0.9116883116883117,0.9379870129870129,50,0.06,"{'hidden_layer_sizes': 50, 'learning_rate_init': 0.06}",4,0.9177489177489178,0.9318181818181818,0.922077922077922,0.9356060606060606,0.9329004329004329,0.9356060606060606,0.8593073593073594,0.9442640692640693,0.9264069264069265,0.9426406926406926,0.007018613816117512,2.78041453115716e-07,0.026664698864821618,0.004700010984980202
18,0.030080223083496095,0.00040111541748046877,0.9173160173160173,0.9366883116883118,50,0.1,"{'hidden_layer_sizes': 50, 'learning_rate_init': 0.1}",3,0.9025974025974026,0.9193722943722944,0.9285714285714286,0.920995670995671,0.9415584415584416,0.9512987012987013,0.8809523809523809,0.9366883116883117,0.9329004329004329,0.9550865800865801,0.009548517086264243,0.00020055776542557568,0.022343701992318526,0.014819333265832407
19,0.035700511932373044,0.00030083656311035155,0.9264069264069265,0.9441558441558442,50,0.6,"{'hidden_layer_sizes': 50, 'learning_rate_init': 0.6}",1,0.9112554112554112,0.935064935064935,0.9458874458874459,0.928030303030303,0.9329004329004329,0.9458874458874459,0.9155844155844156,0.9642857142857143,0.9264069264069265,0.9475108225108225,0.005140321981014835,0.00024563207148103964,0.012396381872966546,0.012346203468721803
20,0.03890337944030762,0.00030074119567871096,0.848917748917749,0.8883116883116884,50,1,"{'hidden_layer_sizes': 50, 'learning_rate_init': 1}",25,0.8722943722943723,0.9177489177489178,0.9134199134199135,0.9231601731601732,0.9177489177489178,0.9345238095238095,0.6385281385281385,0.7364718614718615,0.9025974025974026,0.9296536796536796,0.015711907294838748,0.00024555417344847345,0.10638610710772463,0.07613280604702395
21,0.07721037864685058,0.0006016254425048828,0.6683982683982684,0.7343073593073594,"(50, 50)",0.001,"{'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.001}",29,0.6255411255411255,0.7137445887445888,0.6038961038961039,0.6753246753246753,0.6277056277056277,0.6385281385281385,0.645021645021645,0.7721861471861472,0.8398268398268398,0.8717532467532467,0.030507399625682278,0.0002004624547331949,0.08670337542266218,0.08173324687426384
22,0.08292069435119628,0.0006016254425048828,0.9043290043290043,0.9307359307359307,"(50, 50)",0.006,"{'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.006}",11,0.9134199134199135,0.9388528138528138,0.935064935064935,0.9323593073593074,0.9307359307359307,0.9301948051948052,0.8484848484848485,0.913961038961039,0.8939393939393939,0.9383116883116883,0.01677064362467974,0.00020058162853122015,0.03146802051149133,0.009028854378620863
23,0.058655595779418944,0.0005014419555664062,0.8982683982683982,0.9265151515151514,"(50, 50)",0.01,"{'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.01}",16,0.9090909090909091,0.9356060606060606,0.9264069264069265,0.9329004329004329,0.9134199134199135,0.9177489177489178,0.8593073593073594,0.922077922077922,0.8831168831168831,0.9242424242424242,0.005990767159322619,1.784161275279017e-07,0.02402499900521491,0.006709956709956699
24,0.0601597785949707,0.00040116310119628904,0.9082251082251083,0.9398268398268399,"(50, 50)",0.06,"{'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.06}",6,0.8441558441558441,0.9042207792207793,0.9285714285714286,0.9161255411255411,0.9545454545454546,0.9621212121212122,0.8787878787878788,0.9512987012987013,0.935064935064935,0.9653679653679653,0.025240880449599237,0.00020058162853122015,0.04062350210156921,0.024942072277771274
25,0.046117115020751956,0.0005013465881347657,0.9025974025974026,0.9374458874458874,"(50, 50)",0.1,"{'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.1}",14,0.9090909090909091,0.9377705627705628,0.8701298701298701,0.900974025974026,0.9329004329004329,0.9420995670995671,0.8658008658008658,0.9491341991341992,0.935064935064935,0.9572510822510822,0.014999785582375203,2.3360154559928684e-07,0.029741236428255706,0.01939495397779029
26,0.04622306823730469,0.0004009723663330078,0.5363636363636364,0.5115800865800866,"(50, 50)",0.6,"{'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.6}",31,0.38311688311688313,0.36634199134199136,0.26406926406926406,0.2694805194805195,0.7489177489177489,0.6682900432900433,0.5324675324675324,0.5735930735930735,0.7532467532467533,0.6801948051948052,0.019083234140028583,0.0002004862044310924,0.1948648297369378,0.16525183758253215
27,0.02667722702026367,0.000501251220703125,0.2761904761904762,0.2674242424242424,"(50, 50)",1,"{'hidden_layer_sizes': (50, 50), 'learning_rate_init': 1}",33,0.3463203463203463,0.362012987012987,0.21212121212121213,0.20346320346320346,0.41774891774891776,0.3560606060606061,0.20995670995670995,0.26082251082251084,0.19480519480519481,0.15476190476190477,0.010596021201434066,1.9073486328125e-07,0.0895235583239796,0.08201321266017066
28,0.23011555671691894,0.0007021903991699218,0.9056277056277057,0.9268398268398268,"(100, 25, 100)",0.001,"{'hidden_layer_sizes': (100, 25, 100), 'learning_rate_init': 0.001}",10,0.9285714285714286,0.9437229437229437,0.9285714285714286,0.9274891774891775,0.9177489177489178,0.9101731601731602,0.8571428571428571,0.9215367965367965,0.8961038961038961,0.9312770562770563,0.03303996417797376,0.0002454374190031142,0.02698605606148696,0.011054865039484194
29,0.0921280860900879,0.0008020401000976562,0.906060606060606,0.9346320346320347,"(100, 25, 100)",0.006,"{'hidden_layer_sizes': (100, 25, 100), 'learning_rate_init': 0.006}",8,0.9177489177489178,0.9426406926406926,0.922077922077922,0.9242424242424242,0.9393939393939394,0.9291125541125541,0.8376623376623377,0.9361471861471862,0.9134199134199135,0.941017316017316,0.007045523282931355,0.0002454763062715024,0.03531788407683315,0.007008776995104839
30,0.1043776512145996,0.0007019519805908203,0.906060606060606,0.9412337662337663,"(100, 25, 100)",0.01,"{'hidden_layer_sizes': (100, 25, 100), 'learning_rate_init': 0.01}",8,0.9177489177489178,0.9420995670995671,0.9264069264069265,0.9420995670995671,0.9653679653679653,0.9583333333333334,0.841991341991342,0.9356060606060606,0.8787878787878788,0.928030303030303,0.03480634177252139,0.00024543746532320156,0.04222943168227602,0.009998969231559423
31,0.08773665428161621,0.0007019519805908203,0.9216450216450216,0.9395021645021645,"(100, 25, 100)",0.06,"{'hidden_layer_sizes': (100, 25, 100), 'learning_rate_init': 0.06}",2,0.9458874458874459,0.9577922077922078,0.9415584415584416,0.9464285714285714,0.935064935064935,0.9307359307359307,0.9264069264069265,0.948051948051948,0.8593073593073594,0.9145021645021645,0.022803640164935465,0.0002456321177644204,0.03185276560891281,0.015214772095922044
32,0.06858258247375489,0.0006018638610839844,0.8766233766233766,0.9025974025974026,"(100, 25, 100)",0.1,"{'hidden_layer_sizes': (100, 25, 100), 'learning_rate_init': 0.1}",23,0.8181818181818182,0.8847402597402597,0.9415584415584416,0.9166666666666666,0.9264069264069265,0.9334415584415584,0.8852813852813853,0.8869047619047619,0.8116883116883117,0.8912337662337663,0.017990396198890285,0.00020070078821016646,0.05366917926015569,0.019201952481573043
33,0.03659763336181641,0.0006015777587890625,0.16406926406926406,0.17813852813852815,"(100, 25, 100)",0.6,"{'hidden_layer_sizes': (100, 25, 100), 'learning_rate_init': 0.6}",35,0.1471861471861472,0.15097402597402598,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21861471861471862,0.24567099567099568,0.16883116883116883,0.20833333333333334,0.006717933608301638,0.00020060542079199033,0.028923451235480634,0.041712882672786736
34,0.032787418365478514,0.0005013465881347657,0.18961038961038962,0.19090909090909092,"(100, 25, 100)",1,"{'hidden_layer_sizes': (100, 25, 100), 'learning_rate_init': 1}",34,0.14285714285714285,0.14393939393939395,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.22727272727272727,0.21428571428571427,0.2922077922077922,0.3106060606060606,0.005533902049770537,1.784161275279017e-07,0.060831368460417506,0.0658755841442475
